advisor_id,advisor_name,channel,archetype_id,archetype_name,risk_tolerance,turnover,flow_persistence,tenure_band,household_count,aum,gross_sales_bias,redemption_sensitivity
ADV0719,Advisor 0719,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,2126,3167933787.65,1.0,1.0
ADV0890,Advisor 0890,ria,balanced_planner,Balanced Planner,medium,low,high,tenured,1791,2407474860.08,1.0,1.0
ADV0336,Advisor 0336,private_bank,balanced_planner,Balanced Planner,medium,low,high,emerging,967,2159542999.99,1.0,1.0
ADV0150,Advisor 0150,wirehouse,conservative_income,Conservative Income,low,low,high,tenured,1818,2083739749.85,0.85,1.2
ADV0220,Advisor 0220,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,1842,1884103878.21,1.15,0.9
ADV0737,Advisor 0737,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,1577,1834485964.31,1.15,0.9
ADV0118,Advisor 0118,private_bank,balanced_planner,Balanced Planner,medium,low,high,established,886,1706159908.09,1.0,1.0
ADV0359,Advisor 0359,wirehouse,growth_allocator,Growth Allocator,medium_high,medium,medium,established,1112,1613183432.69,1.15,0.9
ADV0230,Advisor 0230,private_bank,active_trader,Active Trader,high,high,low,established,737,1597768452.8,1.25,1.15
ADV0623,Advisor 0623,wirehouse,balanced_planner,Balanced Planner,medium,low,high,established,1005,1545651305.51,1.0,1.0
ADV0965,Advisor 0965,private_bank,alternative_specialist,Alternative Specialist,medium_high,medium,medium,tenured,854,1488819273.4,1.05,0.95
ADV0227,Advisor 0227,wirehouse,active_trader,Active Trader,high,high,low,established,1108,1454839529.51,1.25,1.15
ADV0957,Advisor 0957,private_bank,balanced_planner,Balanced Planner,medium,low,high,tenured,823,1448060922.5,1.0,1.0
ADV0235,Advisor 0235,wirehouse,balanced_planner,Balanced Planner,medium,low,high,tenured,952,1332794008.36,1.0,1.0
ADV0201,Advisor 0201,wirehouse,active_trader,Active Trader,high,high,low,tenured,901,1328438551.4,1.25,1.15
ADV0759,Advisor 0759,ria,growth_allocator,Growth Allocator,medium_high,medium,medium,tenured,1159,1316835727.59,1.15,0.9
